work_id,work_title,work_display_name,work_publication_year,work_publication_date,author_id,author_name,author_position,institution_id,institution_name,institution_country_code
https://openalex.org/W4205627862,Frontmatter,Frontmatter,2021,2021-03-01,https://openalex.org/A5094482817,Ingrid Arlene,middle,https://openalex.org/I4210125361,De Gruyter Brill (Germany),DE
https://openalex.org/W4205627862,Frontmatter,Frontmatter,2021,2021-03-01,https://openalex.org/A5094384377,Gomez Cram,middle,https://openalex.org/I4210125361,De Gruyter Brill (Germany),DE
https://openalex.org/W4205627862,Frontmatter,Frontmatter,2021,2021-03-01,https://openalex.org/A5094475749,Robert Lubasch,middle,https://openalex.org/I4210125361,De Gruyter Brill (Germany),DE
https://openalex.org/W4205627862,Frontmatter,Frontmatter,2021,2021-03-01,https://openalex.org/A5094393809,Annette Ärztin,middle,https://openalex.org/I4210125361,De Gruyter Brill (Germany),DE
https://openalex.org/W4205627862,Frontmatter,Frontmatter,2021,2021-03-01,https://openalex.org/A5094393810,Berlin Schütz,middle,https://openalex.org/I4210125361,De Gruyter Brill (Germany),DE
https://openalex.org/W4205627862,Frontmatter,Frontmatter,2021,2021-03-01,https://openalex.org/A5094393811,Christa Ärztin,middle,https://openalex.org/I4210125361,De Gruyter Brill (Germany),DE
https://openalex.org/W4205627862,Frontmatter,Frontmatter,2021,2021-03-01,https://openalex.org/A5108799764,Mannheim Schütz,middle,https://openalex.org/I4210125361,De Gruyter Brill (Germany),DE
https://openalex.org/W4205627862,Frontmatter,Frontmatter,2021,2021-03-01,https://openalex.org/A5094475753,Diplom.- Betriebswirtin Sonja,last,https://openalex.org/I4210125361,De Gruyter Brill (Germany),DE
https://openalex.org/W4206621395,Frontmatter,Frontmatter,2020,2020-02-01,https://openalex.org/A5094407885,Verantwortlicher Herausgeber,first,https://openalex.org/I4210125361,De Gruyter Brill (Germany),DE
https://openalex.org/W4206621395,Frontmatter,Frontmatter,2020,2020-02-01,https://openalex.org/A5094407886,H Vormbaum,middle,https://openalex.org/I4210125361,De Gruyter Brill (Germany),DE
https://openalex.org/W4206621395,Frontmatter,Frontmatter,2020,2020-02-01,https://openalex.org/A5068748058,Journal Manager,middle,https://openalex.org/I4210125361,De Gruyter Brill (Germany),DE
https://openalex.org/W4206621395,Frontmatter,Frontmatter,2020,2020-02-01,https://openalex.org/A5094407887,Alexander Görlt,middle,https://openalex.org/I4210125361,De Gruyter Brill (Germany),DE
https://openalex.org/W4206621395,Frontmatter,Frontmatter,2020,2020-02-01,https://openalex.org/A5094407888,Claudia Anzeigenverantwortliche,middle,https://openalex.org/I4210125361,De Gruyter Brill (Germany),DE
https://openalex.org/W4206621395,Frontmatter,Frontmatter,2020,2020-02-01,https://openalex.org/A5094407889,Christoph Satz,middle,https://openalex.org/I4210125361,De Gruyter Brill (Germany),DE
https://openalex.org/W4206621395,Frontmatter,Frontmatter,2020,2020-02-01,https://openalex.org/A5094386215,Fernuniversität Hagemann,middle,https://openalex.org/I4210125361,De Gruyter Brill (Germany),DE
https://openalex.org/W4206621395,Frontmatter,Frontmatter,2020,2020-02-01,https://openalex.org/A5094524704,Hagen In,middle,https://openalex.org/I4210125361,De Gruyter Brill (Germany),DE
https://openalex.org/W4206621395,Frontmatter,Frontmatter,2020,2020-02-01,https://openalex.org/A5094302919,Franz Druck,middle,https://openalex.org/I4210125361,De Gruyter Brill (Germany),DE
https://openalex.org/W4206621395,Frontmatter,Frontmatter,2020,2020-02-01,https://openalex.org/A5094302920,Druck Stückle,last,https://openalex.org/I4210125361,De Gruyter Brill (Germany),DE
https://openalex.org/W4210251819,Frontmatter,Frontmatter,2022,2022-01-01,https://openalex.org/A5094524703,Hagen Bibliotheks,first,https://openalex.org/I4210125361,De Gruyter Brill (Germany),DE
https://openalex.org/W4210251819,Frontmatter,Frontmatter,2022,2022-01-01,https://openalex.org/A5094501412,Eric Chefredaktion,middle,https://openalex.org/I4210125361,De Gruyter Brill (Germany),DE
https://openalex.org/W4210251819,Frontmatter,Frontmatter,2022,2022-01-01,https://openalex.org/A5094563765,Hartmuth Steinhauer,middle,https://openalex.org/I4210125361,De Gruyter Brill (Germany),DE
https://openalex.org/W4210251819,Frontmatter,Frontmatter,2022,2022-01-01,https://openalex.org/A5094501414,Fernuniversität Ihrig,middle,https://openalex.org/I4210125361,De Gruyter Brill (Germany),DE
https://openalex.org/W4210251819,Frontmatter,Frontmatter,2022,2022-01-01,https://openalex.org/A5094563767,Hagen In,middle,https://openalex.org/I4210125361,De Gruyter Brill (Germany),DE
https://openalex.org/W4210251819,Frontmatter,Frontmatter,2022,2022-01-01,https://openalex.org/A5094501416,Michael Beirat,middle,https://openalex.org/I4210125361,De Gruyter Brill (Germany),DE
https://openalex.org/W4210251819,Frontmatter,Frontmatter,2022,2022-01-01,https://openalex.org/A5094563769,Klaus Gantert,middle,https://openalex.org/I4210125361,De Gruyter Brill (Germany),DE
https://openalex.org/W4210251819,Frontmatter,Frontmatter,2022,2022-01-01,https://openalex.org/A5051148239,Hans-Gerd Happel,middle,https://openalex.org/I4210125361,De Gruyter Brill (Germany),DE
https://openalex.org/W4210251819,Frontmatter,Frontmatter,2022,2022-01-01,https://openalex.org/A5094411361,Julia Hiller Von Gaertingen,middle,https://openalex.org/I4210125361,De Gruyter Brill (Germany),DE
https://openalex.org/W4210251819,Frontmatter,Frontmatter,2022,2022-01-01,https://openalex.org/A5094501407,Susanne Metz,middle,https://openalex.org/I4210125361,De Gruyter Brill (Germany),DE
https://openalex.org/W4210251819,Frontmatter,Frontmatter,2022,2022-01-01,https://openalex.org/A5094501408,Städtische Bibliotheken,middle,https://openalex.org/I4210125361,De Gruyter Brill (Germany),DE
https://openalex.org/W4210251819,Frontmatter,Frontmatter,2022,2022-01-01,https://openalex.org/A5094501409,Redaktionelle Betreuung,middle,https://openalex.org/I4210125361,De Gruyter Brill (Germany),DE
https://openalex.org/W4210251819,Frontmatter,Frontmatter,2022,2022-01-01,https://openalex.org/A5001759397,Markus Kirschbaum,middle,https://openalex.org/I4210125361,De Gruyter Brill (Germany),DE
https://openalex.org/W4210251819,Frontmatter,Frontmatter,2022,2022-01-01,https://openalex.org/A5094454501,Markus Anzeigenverantwortlicher,last,https://openalex.org/I4210125361,De Gruyter Brill (Germany),DE
