inst_i,inst_j,weight
https://openalex.org/I118564535,https://openalex.org/I136199984,1035
https://openalex.org/I118564535,https://openalex.org/I154526488,1194
https://openalex.org/I118564535,https://openalex.org/I15766117,129
https://openalex.org/I118564535,https://openalex.org/I161046081,898
https://openalex.org/I118564535,https://openalex.org/I174306211,473
https://openalex.org/I118564535,https://openalex.org/I196349391,257
https://openalex.org/I118564535,https://openalex.org/I202697423,4386
https://openalex.org/I118564535,https://openalex.org/I205783295,495
https://openalex.org/I118564535,https://openalex.org/I21491767,850
https://openalex.org/I118564535,https://openalex.org/I28166907,538
https://openalex.org/I118564535,https://openalex.org/I3018134672,229
https://openalex.org/I118564535,https://openalex.org/I32021983,199
https://openalex.org/I118564535,https://openalex.org/I40120149,1612
https://openalex.org/I118564535,https://openalex.org/I4210087915,353
https://openalex.org/I118564535,https://openalex.org/I4210162051,148
https://openalex.org/I118564535,https://openalex.org/I57206974,279
https://openalex.org/I118564535,https://openalex.org/I62916508,830
https://openalex.org/I118564535,https://openalex.org/I8087733,598
https://openalex.org/I118564535,https://openalex.org/I887968799,327
https://openalex.org/I118564535,https://openalex.org/I97018004,550
https://openalex.org/I118564535,https://openalex.org/I99464096,733
https://openalex.org/I134820265,https://openalex.org/I136199984,204
https://openalex.org/I134820265,https://openalex.org/I154526488,272
https://openalex.org/I134820265,https://openalex.org/I15766117,30
https://openalex.org/I134820265,https://openalex.org/I161046081,97
https://openalex.org/I134820265,https://openalex.org/I174306211,44
https://openalex.org/I134820265,https://openalex.org/I196349391,17
https://openalex.org/I134820265,https://openalex.org/I202697423,132
https://openalex.org/I134820265,https://openalex.org/I205783295,144
https://openalex.org/I134820265,https://openalex.org/I21491767,217
https://openalex.org/I134820265,https://openalex.org/I28166907,155
https://openalex.org/I134820265,https://openalex.org/I3018134672,51
https://openalex.org/I134820265,https://openalex.org/I32021983,45
https://openalex.org/I134820265,https://openalex.org/I40120149,293
https://openalex.org/I134820265,https://openalex.org/I4210087915,41
